,best,population-1,population-2,population-3,population-4,population-5,population-6,population-7,population-8,population-9,population-10,population-11,population-12
0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,117.0,119.0
1,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
2,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
3,158.0,158.0,165.0,165.0,165.0,165.0,165.0,158.0,165.0,165.0,165.0,159.0,165.0
4,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,157.0,102.0,157.0,157.0,157.0
5,158.0,158.0,158.0,158.0,158.0,158.0,158.0,53.0,170.0,158.0,158.0,122.0,158.0
6,164.0,164.0,164.0,164.0,164.0,164.0,164.0,65.0,164.0,164.0,164.0,164.0,128.0
7,160.0,160.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,169.0,159.0,159.0
8,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0,167.0
9,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,149.0,161.0,161.0,161.0
10,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0
11,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0
12,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,228.0,160.0,160.0,160.0,160.0
13,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,147.0,159.0,159.0
14,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,162.0,201.0,162.0
15,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,86.0
16,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0
17,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,195.0,160.0,160.0,160.0,160.0
18,160.0,160.0,160.0,160.0,160.0,160.0,160.0,242.0,45.0,160.0,160.0,160.0,50.0
19,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,155.0,63.0,155.0,155.0,155.0
20,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,206.0,151.0,159.0
21,158.0,158.0,154.0,154.0,154.0,168.0,168.0,154.0,170.0,168.0,154.0,168.0,28.0
22,162.0,162.0,162.0,162.0,162.0,162.0,162.0,175.0,162.0,162.0,162.0,162.0,162.0
23,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,107.0,74.0,160.0,160.0
24,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,217.0,36.0,160.0,184.0
25,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0,164.0
26,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0
27,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,161.0,183.0,161.0,21.0
28,160.0,160.0,160.0,160.0,160.0,160.0,160.0,142.0,160.0,160.0,160.0,52.0,160.0
29,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,159.0,200.0,159.0,229.0
